id,True Position,Predicted Position,Probablilty of Out of any Position (Likelihood),Probablilty of First Position (Likelihood),Probablilty of Second Position  (Likelihood),Probablilty of Third Position  (Likelihood),Probablilty of Fourth Position  (Likelihood)
53234,3,4,9.84779854708285,14.97680218500057,20.60790143981873,20.662815541452407,33.904682286645446
53235,0,1,1.850568680230812,31.71263616206567,24.202197484267554,22.3572477765768,19.877349896859165
53236,1,4,14.006722502825742,6.591958665127858,10.825862357848537,22.80204328293113,45.773413191266734
53237,0,4,4.957418622937483,17.46013144582064,16.581893163507754,24.183442894145355,36.81711387358877
53238,0,2,1.8455463978494693,24.520649483977817,25.93452131672884,25.76118075921645,21.938102042227424
53239,2,4,9.277956190641115,10.960006743489496,18.252860045101468,19.832926483323792,41.67625053744413
53240,0,1,1.5486934011311582,42.568987161367446,25.624794476525643,19.07794232846653,11.179582632509234
53241,4,4,16.92674505536025,8.208013439845834,11.214322270845983,25.029116279487617,38.62180295446032
53242,0,4,10.789025544651091,10.328628729647328,14.82462684070485,22.364612578488963,41.69310630650778
53243,0,3,5.14989400197526,23.599851972150653,20.778003282793104,26.335487475531416,24.13676326754956
53244,0,1,0.963411951235418,41.31070418421367,29.13153210124782,18.914611775068185,9.679739988234903
53245,4,1,6.657482416688806,27.826268699681993,18.20863399132137,23.476390620351292,23.831224271956536
53246,0,4,3.9209613095647557,15.66659903948431,24.583834183378645,23.743263746204427,32.085341721367854
53247,2,4,7.167659209340524,14.130530803501248,13.789613217750263,30.559622889384734,34.35257388002322
53248,0,4,15.330844907085433,7.835226923147776,10.580313353603971,18.962711402610445,47.29090341355237
53249,3,4,3.6604391835378225,8.101689721700442,12.603511381598379,33.68637429627971,41.94798541688364
53250,0,3,3.1295140076714314,15.485414821159369,18.575091410731005,33.26917936667332,29.54080039376486
53251,1,1,2.1981931341032874,44.7192557481454,26.440481851081397,16.887702372972576,9.754366893697325
53252,0,4,1.659127389197142,15.354250369718885,19.737698650698373,29.659329007134712,33.58959458325088
53253,3,4,14.80275756036141,6.9702227497951545,19.10636484931046,17.223562671990802,41.897092168542166
53254,1,1,1.679622360679113,46.78403564335722,19.22950341351121,28.677405068162553,3.6294335142899015
53255,0,4,26.02636608405386,7.270906482236422,8.998781001280117,20.85691041340239,36.84703601902722
53256,0,4,25.198944834117903,6.096066891287419,7.1832086902433,16.04173890335441,45.48004068099697
53257,4,4,2.807225590811057,12.34674988740154,24.148416531284294,23.492606482243506,37.20500150825961
53258,0,0,37.22767551843473,6.513803263203585,9.004194252189833,15.364259616437884,31.89006734973398
53259,2,1,2.794187952361648,53.29337144272631,19.707121851053348,13.58764410979414,10.617674644064556
53260,0,4,5.333530232000726,13.149905997071249,14.506860384923325,30.250114936852206,36.759588449152496
53261,2,2,4.215769607419276,16.413845516289737,27.66293516905862,26.681420147067726,25.02602956016463
53262,0,4,27.670419436864595,4.7540240892034005,4.634145999501495,12.791516449567714,50.149894024862796
